epiweek_start,new_cases,sequences,sequencing_intensity
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,0,0,0
2020-01-19,0,0,0
2020-01-26,0,0,0
2020-02-02,1,0,0
2020-02-09,8,1,0.125
2020-02-16,27,5,0.185185185185185
2020-02-23,71,9,0.126760563380282
2020-03-01,133,13,0.0977443609022556
2020-03-08,264,24,0.0909090909090909
2020-03-15,483,46,0.0952380952380952
2020-03-22,1061,103,0.0970782280867107
2020-03-29,1862,193,0.103651987110634
2020-04-05,3183,303,0.0951932139491046
2020-04-12,5553,542,0.0976048982531965
2020-04-19,8262,807,0.097676107480029
2020-04-26,11029,1118,0.101369117780397
2020-05-03,12291,1280,0.104141241558864
2020-05-10,12229,1247,0.101970725325047
2020-05-17,9947,970,0.0975168392480145
2020-05-24,7412,721,0.0972746896923907
2020-05-31,5160,552,0.106976744186047
2020-06-07,3541,360,0.101666195989833
2020-06-14,2121,199,0.0938236680810938
2020-06-21,1413,145,0.102618542108988
2020-06-28,896,96,0.107142857142857
2020-07-05,501,62,0.12375249500998
2020-07-12,330,41,0.124242424242424
2020-07-19,184,21,0.114130434782609
2020-07-26,101,6,0.0594059405940594
2020-08-02,56,5,0.0892857142857143
2020-08-09,41,2,0.048780487804878
2020-08-16,33,4,0.121212121212121
2020-08-23,19,4,0.210526315789474
2020-08-30,8,0,0
2020-09-06,5,1,0.2
2020-09-13,5,0,0
2020-09-20,1,0,0
2020-09-27,2,0,0
2020-10-04,0,0,0
2020-10-11,1,1,1
