id,date,collection_location,travel_history,new_cases,mobility,sequencing_intensity
seq_0,2020-10-13,domestic,no_travel,1,-0.01,1
seq_12,2020-09-11,domestic,no_travel,5,-0.01,0.2
seq_37,2020-08-28,domestic,no_travel,19,-0.01,0.210526315789474
seq_40,2020-08-28,domestic,no_travel,19,-0.01,0.210526315789474
seq_59,2020-08-23,domestic,no_travel,19,-0.01,0.210526315789474
seq_62,2020-08-23,domestic,no_travel,19,-0.01,0.210526315789474
seq_89,2020-08-19,domestic,no_travel,33,-0.01,0.121212121212121
seq_92,2020-08-18,domestic,no_travel,33,-0.01,0.121212121212121
seq_95,2020-08-18,domestic,no_travel,33,-0.01,0.121212121212121
seq_102,2020-08-17,domestic,no_travel,33,-0.01,0.121212121212121
seq_134,2020-08-13,domestic,no_travel,41,-0.01,0.048780487804878
seq_173,2020-08-11,domestic,no_travel,41,-0.01,0.048780487804878
seq_208,2020-08-08,domestic,no_travel,56,-0.01,0.0892857142857143
seq_237,2020-08-07,domestic,no_travel,56,-0.01,0.0892857142857143
seq_267,2020-08-05,domestic,travel,56,-0.01,0.0892857142857143
seq_302,2020-08-04,domestic,no_travel,56,-0.01,0.0892857142857143
seq_333,2020-08-02,domestic,no_travel,56,-0.01,0.0892857142857143
seq_359,2020-08-01,domestic,no_travel,101,-0.01,0.0594059405940594
seq_360,2020-08-01,domestic,no_travel,101,-0.01,0.0594059405940594
seq_361,2020-08-01,domestic,no_travel,101,-0.01,0.0594059405940594
seq_474,2020-07-28,domestic,no_travel,101,-0.01,0.0594059405940594
seq_545,2020-07-26,domestic,no_travel,101,-0.01,0.0594059405940594
seq_549,2020-07-26,domestic,no_travel,101,-0.01,0.0594059405940594
seq_565,2020-07-25,domestic,travel,184,-0.01,0.114130434782609
seq_612,2020-07-24,domestic,no_travel,184,-0.01,0.114130434782609
seq_632,2020-07-24,domestic,no_travel,184,-0.01,0.114130434782609
seq_661,2020-07-23,domestic,no_travel,184,-0.01,0.114130434782609
seq_670,2020-07-23,domestic,no_travel,184,-0.01,0.114130434782609
seq_683,2020-07-23,domestic,no_travel,184,-0.01,0.114130434782609
seq_690,2020-07-23,domestic,travel,184,-0.01,0.114130434782609
seq_726,2020-07-22,domestic,no_travel,184,-0.01,0.114130434782609
seq_731,2020-07-22,domestic,no_travel,184,-0.01,0.114130434782609
seq_782,2020-07-21,domestic,no_travel,184,-0.01,0.114130434782609
seq_786,2020-07-21,domestic,no_travel,184,-0.01,0.114130434782609
seq_798,2020-07-21,domestic,no_travel,184,-0.01,0.114130434782609
seq_809,2020-07-21,domestic,no_travel,184,-0.01,0.114130434782609
seq_811,2020-07-21,domestic,no_travel,184,-0.01,0.114130434782609
seq_819,2020-07-20,domestic,no_travel,184,-0.01,0.114130434782609
seq_838,2020-07-20,domestic,no_travel,184,-0.01,0.114130434782609
seq_850,2020-07-20,domestic,no_travel,184,-0.01,0.114130434782609
seq_860,2020-07-20,domestic,no_travel,184,-0.01,0.114130434782609
seq_870,2020-07-20,domestic,no_travel,184,-0.01,0.114130434782609
seq_889,2020-07-19,domestic,no_travel,184,-0.01,0.114130434782609
seq_898,2020-07-19,domestic,no_travel,184,-0.01,0.114130434782609
seq_937,2020-07-18,domestic,no_travel,330,-0.01,0.124242424242424
seq_938,2020-07-18,domestic,no_travel,330,-0.01,0.124242424242424
seq_980,2020-07-18,domestic,no_travel,330,-0.01,0.124242424242424
seq_100033,2020-07-17,domestic,no_travel,330,-0.01,0.124242424242424
seq_100039,2020-07-17,domestic,no_travel,330,-0.01,0.124242424242424
seq_100048,2020-07-17,domestic,no_travel,330,-0.01,0.124242424242424
seq_100052,2020-07-17,domestic,no_travel,330,-0.01,0.124242424242424
seq_100074,2020-07-16,domestic,no_travel,330,-0.01,0.124242424242424
seq_100094,2020-07-16,domestic,no_travel,330,-0.01,0.124242424242424
seq_10009,2020-07-16,domestic,no_travel,330,-0.01,0.124242424242424
seq_100112,2020-07-16,domestic,no_travel,330,-0.01,0.124242424242424
seq_100113,2020-07-16,domestic,no_travel,330,-0.01,0.124242424242424
seq_100119,2020-07-16,domestic,no_travel,330,-0.01,0.124242424242424
seq_100133,2020-07-16,domestic,no_travel,330,-0.01,0.124242424242424
seq_100144,2020-07-15,domestic,no_travel,330,-0.01,0.124242424242424
seq_100145,2020-07-15,domestic,no_travel,330,-0.01,0.124242424242424
seq_100163,2020-07-15,domestic,travel,330,-0.01,0.124242424242424
seq_10017,2020-07-15,domestic,no_travel,330,-0.01,0.124242424242424
seq_100194,2020-07-15,domestic,travel,330,-0.01,0.124242424242424
seq_100205,2020-07-15,domestic,no_travel,330,-0.01,0.124242424242424
seq_100206,2020-07-15,domestic,no_travel,330,-0.01,0.124242424242424
seq_100211,2020-07-14,domestic,no_travel,330,-0.01,0.124242424242424
seq_100227,2020-07-14,domestic,no_travel,330,-0.01,0.124242424242424
seq_100246,2020-07-14,domestic,travel,330,-0.01,0.124242424242424
seq_100300,2020-07-14,domestic,no_travel,330,-0.01,0.124242424242424
seq_10031,2020-07-13,domestic,no_travel,330,-0.01,0.124242424242424
