label,deme,Date
leaf_22766,Deme_2,2020-05-09
leaf_99030,Deme_2,2020-03-08
leaf_4261,Deme_1,2020-05-02
leaf_68945,Deme_2,2020-04-21
leaf_82799,Imports,2020-04-13
leaf_85211,Imports,2020-04-11
leaf_7204,Deme_1,2020-04-20
leaf_56024,Deme_2,2020-04-27
leaf_65585,Deme_2,2020-04-23
leaf_105602,Deme_2,2020-06-19
leaf_73041,Deme_1,2020-04-19
leaf_112506,Deme_1,2020-06-08
leaf_148690,Deme_1,2020-05-16
leaf_108341,Deme_2,2020-06-14
leaf_133115,Deme_2,2020-05-24
leaf_36639,Deme_2,2020-05-04
leaf_46870,Deme_2,2020-05-01
leaf_116945,Deme_1,2020-06-04
leaf_118037,Deme_1,2020-06-03
leaf_45134,Deme_1,2020-05-01
leaf_47751,Deme_1,2020-04-30
leaf_48979,Deme_2,2020-04-30
leaf_70515,Deme_1,2020-04-21
leaf_98444,Deme_1,2020-03-14
leaf_129691,Deme_1,2020-05-26
leaf_68868,Deme_1,2020-04-21
leaf_77757,Deme_1,2020-04-16
leaf_22856,Deme_2,2020-05-09
leaf_131534,Deme_2,2020-05-25
leaf_24714,Deme_2,2020-05-09
leaf_53563,Deme_1,2020-04-28
leaf_80547,Deme_1,2020-04-14
leaf_38587,Deme_1,2020-05-04
leaf_90783,Deme_2,2020-04-04
leaf_111081,Deme_1,2020-06-10
leaf_125649,Deme_1,2020-05-28
leaf_142416,Deme_2,2020-05-19
leaf_99448,Deme_1,2020-03-01
leaf_111754,Deme_2,2020-06-09
leaf_149718,Imports,2020-05-16
leaf_72182,Deme_1,2020-04-20
leaf_99305,Deme_1,2020-03-04
leaf_75836,Deme_2,2020-04-18
leaf_115466,Deme_2,2020-06-05
leaf_95231,Deme_1,2020-03-27
leaf_57276,Deme_2,2020-04-27
leaf_113982,Imports,2020-06-07
leaf_140120,Deme_2,2020-05-20
leaf_8195,Deme_1,2020-04-13
leaf_159447,Deme_2,2020-05-12
leaf_81390,Deme_1,2020-04-14
leaf_58683,Deme_1,2020-04-26
leaf_145933,Deme_2,2020-05-18
leaf_49904,Deme_1,2020-04-30
leaf_45135,Deme_1,2020-05-01
leaf_100664,Deme_2,2020-07-10
leaf_104593,Deme_1,2020-06-22
leaf_151487,Deme_2,2020-05-15
leaf_146201,Deme_2,2020-05-18
leaf_34491,Deme_2,2020-05-05
leaf_33186,Deme_1,2020-05-06
leaf_32180,Deme_1,2020-05-06
leaf_1318,Imports,2020-05-24
leaf_144525,Deme_1,2020-05-18
leaf_132059,Deme_2,2020-05-24
leaf_237,Deme_2,2020-08-07
leaf_19214,Deme_2,2020-05-11
leaf_1873,Deme_1,2020-05-11
leaf_80713,Deme_1,2020-04-14
leaf_18095,Deme_1,2020-05-11
leaf_57862,Deme_2,2020-04-26
leaf_20218,Deme_2,2020-05-10
leaf_24627,Deme_2,2020-05-09
leaf_39658,Deme_2,2020-05-03
leaf_126388,Deme_2,2020-05-28
leaf_54561,Deme_2,2020-04-28
leaf_31673,Deme_2,2020-05-06
leaf_9838,Deme_1,2020-03-14
leaf_123661,Deme_1,2020-05-29
leaf_36531,Deme_2,2020-05-04
leaf_139886,Deme_1,2020-05-20
leaf_62073,Deme_2,2020-04-25
leaf_139783,Deme_2,2020-05-20
leaf_92796,Deme_2,2020-04-01
leaf_141161,Deme_2,2020-05-20
leaf_103235,Deme_1,2020-06-26
leaf_123312,Deme_2,2020-05-30
leaf_151291,Deme_2,2020-05-15
leaf_131963,Deme_2,2020-05-24
leaf_70197,Deme_2,2020-04-21
leaf_138936,Deme_2,2020-05-21
leaf_39758,Deme_2,2020-05-03
leaf_89683,Deme_1,2020-04-06
leaf_50555,Deme_1,2020-04-29
leaf_51727,Deme_1,2020-04-29
leaf_116849,Deme_1,2020-06-04
leaf_95305,Deme_1,2020-03-27
leaf_102160,Deme_1,2020-07-01
leaf_89934,Deme_2,2020-04-06
leaf_157231,Deme_1,2020-05-13
leaf_73118,Deme_1,2020-04-19
leaf_5326,Deme_1,2020-04-28
leaf_147867,Deme_2,2020-05-17
leaf_122340,Deme_2,2020-05-30
leaf_92650,Deme_2,2020-04-01
leaf_68625,Deme_2,2020-04-22
leaf_98547,Deme_1,2020-03-13
leaf_147132,Deme_2,2020-05-17
leaf_77915,Deme_2,2020-04-16
leaf_39910,Deme_2,2020-05-03
leaf_19320,Deme_2,2020-05-11
leaf_81167,Deme_2,2020-04-14
leaf_788,Deme_1,2020-07-21
leaf_11319,Deme_1,2020-06-07
leaf_143202,Deme_2,2020-05-19
leaf_45101,Deme_2,2020-05-01
leaf_57850,Deme_2,2020-04-26
leaf_74294,Deme_1,2020-04-18
leaf_34443,Deme_2,2020-05-05
leaf_142106,Deme_2,2020-05-19
leaf_9802,Deme_1,2020-03-17
leaf_76142,Deme_1,2020-04-17
leaf_50119,Deme_1,2020-04-29
leaf_143448,Deme_2,2020-05-19
leaf_35692,Deme_2,2020-05-05
leaf_49945,Deme_2,2020-04-29
leaf_52242,Deme_2,2020-04-29
leaf_137659,Deme_2,2020-05-21
leaf_115605,Deme_1,2020-06-05
leaf_151403,Deme_1,2020-05-15
leaf_13274,Deme_1,2020-05-24
leaf_100385,Deme_2,2020-07-13
leaf_8130,Deme_1,2020-04-14
leaf_95457,Deme_2,2020-03-27
leaf_2697,Deme_1,2020-05-08
leaf_87263,Deme_1,2020-04-09
leaf_45759,Deme_2,2020-05-01
leaf_34059,Deme_2,2020-05-05
leaf_122674,Deme_1,2020-05-30
leaf_71959,Deme_2,2020-04-20
leaf_147971,Deme_2,2020-05-17
leaf_83908,Deme_1,2020-04-12
leaf_78398,Deme_1,2020-04-16
leaf_1849,Deme_1,2020-05-11
leaf_14413,Deme_2,2020-05-18
leaf_89715,Deme_1,2020-04-06
leaf_140121,Deme_1,2020-05-20
leaf_157015,Deme_2,2020-05-13
leaf_147577,Deme_1,2020-05-17
leaf_58704,Deme_2,2020-04-26
leaf_146859,Deme_2,2020-05-17
leaf_59534,Deme_1,2020-04-26
leaf_124944,Deme_1,2020-05-28
leaf_19376,Deme_1,2020-05-11
