"id","date","collection_location","new_cases","mobility","sequencing_intensity"
"seq_16",2020-09-06,"intl_source",2,0.01,0.5
"seq_60",2020-08-23,"intl_source",12,0.01,0.0833333333333333
"seq_73",2020-08-21,"intl_source",20,0.01,0.15
"seq_100",2020-08-17,"intl_source",20,0.01,0.15
"seq_114",2020-08-16,"intl_source",20,0.01,0.15
"seq_120",2020-08-15,"intl_source",43,0.01,0.186046511627907
"seq_125",2020-08-15,"intl_source",43,0.01,0.186046511627907
"seq_144",2020-08-13,"intl_source",43,0.01,0.186046511627907
"seq_182",2020-08-10,"intl_source",43,0.01,0.186046511627907
"seq_183",2020-08-10,"intl_source",43,0.01,0.186046511627907
"seq_185",2020-08-10,"intl_source",43,0.01,0.186046511627907
"seq_196",2020-08-09,"intl_source",43,0.01,0.186046511627907
"seq_197",2020-08-09,"intl_source",43,0.01,0.186046511627907
"seq_228",2020-08-07,"intl_source",89,0.01,0.0674157303370786
"seq_243",2020-08-07,"intl_source",89,0.01,0.0674157303370786
"seq_259",2020-08-06,"intl_source",89,0.01,0.0674157303370786
"seq_263",2020-08-05,"intl_source",89,0.01,0.0674157303370786
"seq_336",2020-08-02,"intl_source",89,0.01,0.0674157303370786
"seq_346",2020-08-02,"intl_source",89,0.01,0.0674157303370786
"seq_379",2020-07-31,"intl_source",112,0.01,0.116071428571429
"seq_396",2020-07-30,"intl_source",112,0.01,0.116071428571429
"seq_439",2020-07-29,"intl_source",112,0.01,0.116071428571429
"seq_469",2020-07-28,"intl_source",112,0.01,0.116071428571429
"seq_475",2020-07-28,"intl_source",112,0.01,0.116071428571429
"seq_480",2020-07-28,"intl_source",112,0.01,0.116071428571429
"seq_495",2020-07-27,"intl_source",112,0.01,0.116071428571429
"seq_514",2020-07-27,"intl_source",112,0.01,0.116071428571429
"seq_519",2020-07-27,"intl_source",112,0.01,0.116071428571429
"seq_524",2020-07-26,"intl_source",112,0.01,0.116071428571429
"seq_531",2020-07-26,"intl_source",112,0.01,0.116071428571429
"seq_542",2020-07-26,"intl_source",112,0.01,0.116071428571429
"seq_558",2020-07-26,"intl_source",112,0.01,0.116071428571429
"seq_561",2020-07-25,"intl_source",187,0.01,0.117647058823529
"seq_573",2020-07-25,"intl_source",187,0.01,0.117647058823529
"seq_620",2020-07-24,"intl_source",187,0.01,0.117647058823529
"seq_626",2020-07-24,"intl_source",187,0.01,0.117647058823529
"seq_639",2020-07-24,"intl_source",187,0.01,0.117647058823529
"seq_680",2020-07-23,"intl_source",187,0.01,0.117647058823529
"seq_689",2020-07-23,"intl_source",187,0.01,0.117647058823529
"seq_745",2020-07-22,"intl_source",187,0.01,0.117647058823529
"seq_763",2020-07-21,"intl_source",187,0.01,0.117647058823529
"seq_767",2020-07-21,"intl_source",187,0.01,0.117647058823529
"seq_775",2020-07-21,"intl_source",187,0.01,0.117647058823529
"seq_788",2020-07-21,"intl_source",187,0.01,0.117647058823529
"seq_795",2020-07-21,"intl_source",187,0.01,0.117647058823529
"seq_800",2020-07-21,"intl_source",187,0.01,0.117647058823529
"seq_812",2020-07-21,"intl_source",187,0.01,0.117647058823529
"seq_821",2020-07-20,"intl_source",187,0.01,0.117647058823529
"seq_823",2020-07-20,"intl_source",187,0.01,0.117647058823529
"seq_825",2020-07-20,"intl_source",187,0.01,0.117647058823529
"seq_831",2020-07-20,"intl_source",187,0.01,0.117647058823529
"seq_842",2020-07-20,"intl_source",187,0.01,0.117647058823529
"seq_865",2020-07-20,"intl_source",187,0.01,0.117647058823529
"seq_882",2020-07-19,"intl_source",187,0.01,0.117647058823529
"seq_931",2020-07-18,"intl_source",310,0.01,0.106451612903226
"seq_935",2020-07-18,"intl_source",310,0.01,0.106451612903226
"seq_954",2020-07-18,"intl_source",310,0.01,0.106451612903226
"seq_965",2020-07-18,"intl_source",310,0.01,0.106451612903226
"seq_977",2020-07-18,"intl_source",310,0.01,0.106451612903226
"seq_992",2020-07-18,"intl_source",310,0.01,0.106451612903226
"seq_100002",2020-07-17,"intl_source",310,0.01,0.106451612903226
