id,collection_location,collection_date
seq_22766,domestic,2020-05-09
seq_99030,domestic,2020-03-08
seq_4261,intl_source,2020-05-02
seq_68945,domestic,2020-04-21
seq_82799,Imports,2020-04-13
seq_85211,Imports,2020-04-11
seq_7204,intl_source,2020-04-20
seq_56024,domestic,2020-04-27
seq_65585,domestic,2020-04-23
seq_105602,domestic,2020-06-19
seq_73041,intl_source,2020-04-19
seq_112506,intl_source,2020-06-08
seq_148690,intl_source,2020-05-16
seq_108341,domestic,2020-06-14
seq_133115,domestic,2020-05-24
seq_36639,domestic,2020-05-04
seq_46870,domestic,2020-05-01
seq_116945,intl_source,2020-06-04
seq_118037,intl_source,2020-06-03
seq_45134,intl_source,2020-05-01
seq_47751,intl_source,2020-04-30
seq_48979,domestic,2020-04-30
seq_70515,intl_source,2020-04-21
seq_98444,intl_source,2020-03-14
seq_129691,intl_source,2020-05-26
seq_68868,intl_source,2020-04-21
seq_77757,intl_source,2020-04-16
seq_22856,domestic,2020-05-09
seq_131534,domestic,2020-05-25
seq_24714,domestic,2020-05-09
seq_53563,intl_source,2020-04-28
seq_80547,intl_source,2020-04-14
seq_38587,intl_source,2020-05-04
seq_90783,domestic,2020-04-04
seq_111081,intl_source,2020-06-10
seq_125649,intl_source,2020-05-28
seq_142416,domestic,2020-05-19
seq_99448,intl_source,2020-03-01
seq_111754,domestic,2020-06-09
seq_149718,Imports,2020-05-16
seq_72182,intl_source,2020-04-20
seq_99305,intl_source,2020-03-04
seq_75836,domestic,2020-04-18
seq_115466,domestic,2020-06-05
seq_95231,intl_source,2020-03-27
seq_57276,domestic,2020-04-27
seq_113982,Imports,2020-06-07
seq_140120,domestic,2020-05-20
seq_8195,intl_source,2020-04-13
seq_159447,domestic,2020-05-12
seq_81390,intl_source,2020-04-14
seq_58683,intl_source,2020-04-26
seq_145933,domestic,2020-05-18
seq_49904,intl_source,2020-04-30
seq_45135,intl_source,2020-05-01
seq_100664,domestic,2020-07-10
seq_104593,intl_source,2020-06-22
seq_151487,domestic,2020-05-15
seq_146201,domestic,2020-05-18
seq_34491,domestic,2020-05-05
seq_33186,intl_source,2020-05-06
seq_32180,intl_source,2020-05-06
seq_1318,Imports,2020-05-24
seq_144525,intl_source,2020-05-18
seq_132059,domestic,2020-05-24
seq_237,domestic,2020-08-07
seq_19214,domestic,2020-05-11
seq_1873,intl_source,2020-05-11
seq_80713,intl_source,2020-04-14
seq_18095,intl_source,2020-05-11
seq_57862,domestic,2020-04-26
seq_20218,domestic,2020-05-10
seq_24627,domestic,2020-05-09
seq_39658,domestic,2020-05-03
seq_126388,domestic,2020-05-28
seq_54561,domestic,2020-04-28
seq_31673,domestic,2020-05-06
seq_9838,intl_source,2020-03-14
seq_123661,intl_source,2020-05-29
seq_36531,domestic,2020-05-04
seq_139886,intl_source,2020-05-20
seq_62073,domestic,2020-04-25
seq_139783,domestic,2020-05-20
seq_92796,domestic,2020-04-01
seq_141161,domestic,2020-05-20
seq_103235,intl_source,2020-06-26
seq_123312,domestic,2020-05-30
seq_151291,domestic,2020-05-15
seq_131963,domestic,2020-05-24
seq_70197,domestic,2020-04-21
seq_138936,domestic,2020-05-21
seq_39758,domestic,2020-05-03
seq_89683,intl_source,2020-04-06
seq_50555,intl_source,2020-04-29
seq_51727,intl_source,2020-04-29
seq_116849,intl_source,2020-06-04
seq_95305,intl_source,2020-03-27
seq_102160,intl_source,2020-07-01
seq_89934,domestic,2020-04-06
seq_157231,intl_source,2020-05-13
seq_73118,intl_source,2020-04-19
seq_5326,intl_source,2020-04-28
seq_147867,domestic,2020-05-17
seq_122340,domestic,2020-05-30
seq_92650,domestic,2020-04-01
seq_68625,domestic,2020-04-22
seq_98547,intl_source,2020-03-13
seq_147132,domestic,2020-05-17
seq_77915,domestic,2020-04-16
seq_39910,domestic,2020-05-03
seq_19320,domestic,2020-05-11
seq_81167,domestic,2020-04-14
seq_788,intl_source,2020-07-21
seq_11319,intl_source,2020-06-07
seq_143202,domestic,2020-05-19
seq_45101,domestic,2020-05-01
seq_57850,domestic,2020-04-26
seq_74294,intl_source,2020-04-18
seq_34443,domestic,2020-05-05
seq_142106,domestic,2020-05-19
seq_9802,intl_source,2020-03-17
seq_76142,intl_source,2020-04-17
seq_50119,intl_source,2020-04-29
seq_143448,domestic,2020-05-19
seq_35692,domestic,2020-05-05
seq_49945,domestic,2020-04-29
seq_52242,domestic,2020-04-29
seq_137659,domestic,2020-05-21
seq_115605,intl_source,2020-06-05
seq_151403,intl_source,2020-05-15
seq_13274,intl_source,2020-05-24
seq_100385,domestic,2020-07-13
seq_8130,intl_source,2020-04-14
seq_95457,domestic,2020-03-27
seq_2697,intl_source,2020-05-08
seq_87263,intl_source,2020-04-09
seq_45759,domestic,2020-05-01
seq_34059,domestic,2020-05-05
seq_122674,intl_source,2020-05-30
seq_71959,domestic,2020-04-20
seq_147971,domestic,2020-05-17
seq_83908,intl_source,2020-04-12
seq_78398,intl_source,2020-04-16
seq_1849,intl_source,2020-05-11
seq_14413,domestic,2020-05-18
seq_89715,intl_source,2020-04-06
seq_140121,intl_source,2020-05-20
seq_157015,domestic,2020-05-13
seq_147577,intl_source,2020-05-17
seq_58704,domestic,2020-04-26
seq_146859,domestic,2020-05-17
seq_59534,intl_source,2020-04-26
seq_124944,intl_source,2020-05-28
seq_19376,intl_source,2020-05-11
seq_83542,intl_source,2020-04-12
seq_43031,domestic,2020-05-02
seq_53770,domestic,2020-04-28
seq_94992,intl_source,2020-03-28
seq_95506,intl_source,2020-03-26
seq_10635,intl_source,2020-06-18
seq_4054,intl_source,2020-05-03
seq_112155,intl_source,2020-06-09
seq_63537,domestic,2020-04-24
seq_145155,domestic,2020-05-18
seq_155190,domestic,2020-05-14
seq_1507,intl_source,2020-05-16
seq_28233,domestic,2020-05-07
seq_70348,intl_source,2020-04-21
seq_96401,intl_source,2020-03-24
seq_131144,intl_source,2020-05-25
seq_160218,domestic,2020-05-12
seq_67016,domestic,2020-04-22
seq_110979,domestic,2020-06-10
seq_128089,domestic,2020-05-26
seq_34791,intl_source,2020-05-05
seq_24197,domestic,2020-05-09
seq_37284,domestic,2020-05-04
seq_155617,domestic,2020-05-14
seq_22571,intl_source,2020-05-10
seq_23080,domestic,2020-05-09
seq_98408,intl_source,2020-03-14
seq_30045,domestic,2020-05-07
seq_71373,domestic,2020-04-20
seq_55639,domestic,2020-04-27
seq_117046,intl_source,2020-06-04
seq_113361,intl_source,2020-06-07
seq_69711,intl_source,2020-04-21
seq_13733,intl_source,2020-05-22
seq_94063,intl_source,2020-03-30
seq_144055,domestic,2020-05-18
seq_185,intl_source,2020-08-10
seq_102993,intl_source,2020-06-27
seq_17162,domestic,2020-05-11
seq_157984,domestic,2020-05-13
seq_145872,intl_source,2020-05-18
seq_60161,intl_source,2020-04-25
seq_123442,intl_source,2020-05-29
seq_113021,intl_source,2020-06-08
seq_136141,domestic,2020-05-22
seq_157157,intl_source,2020-05-13
seq_76089,domestic,2020-04-17
seq_83490,intl_source,2020-04-12
seq_78966,intl_source,2020-04-15
