epiweek_start,new_cases,sequences,sequencing_intensity
2019-12-29,1,0,0
2020-01-05,0,0,0
2020-01-12,6,2,0.333333333333333
2020-01-19,19,1,0.0526315789473684
2020-01-26,20,0,0
2020-02-02,28,1,0.0357142857142857
2020-02-09,55,6,0.109090909090909
2020-02-16,107,12,0.11214953271028
2020-02-23,207,20,0.0966183574879227
2020-03-01,323,32,0.0990712074303406
2020-03-08,555,63,0.113513513513514
2020-03-15,939,86,0.0915867944621938
2020-03-22,1540,147,0.0954545454545455
2020-03-29,2552,249,0.0975705329153605
2020-04-05,3927,383,0.0975299210593328
2020-04-12,5440,582,0.106985294117647
2020-04-19,7422,755,0.10172460253301
2020-04-26,8844,890,0.100633197648123
2020-05-03,8888,839,0.0943969396939694
2020-05-10,8417,859,0.102055364143994
2020-05-17,6847,667,0.0974149262450708
2020-05-24,5271,515,0.0977044204135838
2020-05-31,3724,371,0.0996240601503759
2020-06-07,2466,238,0.0965125709651257
2020-06-14,1676,152,0.0906921241050119
2020-06-21,1094,102,0.093235831809872
2020-06-28,776,77,0.0992268041237113
2020-07-05,515,51,0.0990291262135922
2020-07-12,310,33,0.106451612903226
2020-07-19,187,22,0.117647058823529
2020-07-26,112,13,0.116071428571429
2020-08-02,89,6,0.0674157303370786
2020-08-09,43,8,0.186046511627907
2020-08-16,20,3,0.15
2020-08-23,12,1,0.0833333333333333
2020-08-30,9,0,0
2020-09-06,2,1,0.5
2020-09-13,1,0,0
2020-09-20,0,0,0
2020-09-27,0,0,0
2020-10-04,0,0,0
2020-10-11,0,0,0
